# OD [in]    STD [in]
0.405        0.068
0.540        0.088
0.675        0.091
0.840        0.109
1.050        0.113
1.315        0.133
1.660        0.140
1.900        0.145
2.375        0.154
2.875        0.203
3.500        0.216
4.000        0.226
4.500        0.237
5.563        0.258
6.625        0.280
8.625        0.322
10.750       0.365
12.750       0.375
14.000       0.375
16.000       0.375
18.000       0.375
20.000       0.375
22.000       0.375
24.000       0.375
30.000       0.375
32.000       0.375
34.000       0.375
36.000       0.375
42.000       0.375
