z_m,T_ci_C,T_co_C
-2.133599999999999941e+00,2.808387233447641620e+02,2.799342275775779285e+02
-2.120899999999999785e+00,2.817639436030405022e+02,2.802645296216984434e+02
-2.108199999999999630e+00,2.826920683680146453e+02,2.805985595616787691e+02
-2.095499999999999474e+00,2.836230081407575199e+02,2.809362828085004367e+02
-2.082799999999999319e+00,2.845566732790767901e+02,2.812776643342858165e+02
-2.070099999999999163e+00,2.854929740076547091e+02,2.816226686770538663e+02
-2.057399999999999007e+00,2.864318204281150884e+02,2.819712599455285726e+02
-2.044699999999998852e+00,2.873731225290103453e+02,2.823234018239922420e+02
-2.031999999999998696e+00,2.883167901957251615e+02,2.826790575771795488e+02
-2.019299999999998541e+00,2.892627332202999355e+02,2.830381900552141019e+02
-2.006599999999998385e+00,2.902108613111635691e+02,2.834007616985791742e+02
-1.993899999999998229e+00,2.911610841027822971e+02,2.837667345431261765e+02
-1.981199999999998074e+00,2.921133111652272305e+02,2.841360702251254793e+02
-1.968499999999997918e+00,2.930674520136454362e+02,2.845087299863419616e+02
-1.955799999999997763e+00,2.940234161176475141e+02,2.848846746791500664e+02
-1.943099999999997607e+00,2.949811129105958685e+02,2.852638647716685796e+02
-1.930399999999997451e+00,2.959404517988155590e+02,2.856462603529406010e+02
-1.917699999999997296e+00,2.969013421706983422e+02,2.860318211381242008e+02
-1.904999999999997140e+00,2.978636934057234953e+02,2.864205064737215594e+02
-1.892299999999996984e+00,2.988274148833780828e+02,2.868122753428223177e+02
-1.879599999999996829e+00,2.997924159919848535e+02,2.872070863703754640e+02
-1.866899999999996673e+00,3.007586061374428823e+02,2.876048978284886743e+02
-1.854199999999996518e+00,3.017258947518537866e+02,2.880056676417291328e+02
-1.841499999999996362e+00,3.026941913020712605e+02,2.884093533924627764e+02
-1.828799999999996206e+00,3.036634052981447667e+02,2.888159123262016692e+02
-1.816099999999996051e+00,3.046334463016610243e+02,2.892253013569616087e+02
-1.803399999999995895e+00,3.056042239340088145e+02,2.896374770726556562e+02
-1.790699999999995740e+00,3.065756478845142396e+02,2.900523957404678868e+02
-1.777999999999995584e+00,3.075476279185153885e+02,2.904700133122770467e+02
-1.765299999999995428e+00,3.085200738853079088e+02,2.908902854300597483e+02
-1.752599999999995273e+00,3.094928957260181619e+02,2.913131674313285657e+02
-1.739899999999995117e+00,3.104660034813573475e+02,2.917386143545570008e+02
-1.727199999999994962e+00,3.114393072993001965e+02,2.921665809446346316e+02
-1.714499999999994806e+00,3.124127174426501483e+02,2.925970216583132242e+02
-1.701799999999994650e+00,3.133861442965201718e+02,2.930298906696698396e+02
-1.689099999999994495e+00,3.143594983757089381e+02,2.934651418755680083e+02
-1.676399999999994339e+00,3.153326903319837129e+02,2.939027289011253288e+02
-1.663699999999994183e+00,3.163056309612817927e+02,2.943426051051983450e+02
-1.650999999999994028e+00,3.172782312107919438e+02,2.947847235858453701e+02
-1.638299999999993872e+00,3.182504021859717227e+02,2.952290371858219942e+02
-1.625599999999993717e+00,3.192220551574461069e+02,2.956754984980514109e+02
-1.612899999999993561e+00,3.201931015678327981e+02,2.961240598711173106e+02
-1.600199999999993405e+00,3.211634530384724258e+02,2.965746734147508619e+02
-1.587499999999993250e+00,3.221330213760581955e+02,2.970272910053123496e+02
-1.574799999999993094e+00,3.231017185791970405e+02,2.974818642912898099e+02
-1.562099999999992939e+00,3.240694568448602126e+02,2.979383446987777120e+02
-1.549399999999992783e+00,3.250361485747682195e+02,2.983966834369766161e+02
-1.536699999999992627e+00,3.260017063816734435e+02,2.988568315036750960e+02
-1.523999999999992472e+00,3.269660430955680113e+02,2.993187396907417792e+02
-1.511299999999992316e+00,3.279290717698104913e+02,2.997823585896192071e+02
-1.498599999999992161e+00,3.288907056871616987e+02,3.002476385968070645e+02
-1.485899999999992005e+00,3.298508583657496160e+02,3.007145299193556411e+02
-1.473199999999991849e+00,3.308094435649498450e+02,3.011829825803523590e+02
-1.460499999999991694e+00,3.317663752911971642e+02,3.016529464244181895e+02
-1.447799999999991538e+00,3.327215678037050566e+02,3.021243711231851421e+02
-1.435099999999991383e+00,3.336749356201340788e+02,3.025972061807996170e+02
-1.422399999999991227e+00,3.346263935221671204e+02,3.030714009394052937e+02
-1.409699999999991071e+00,3.355758565610293545e+02,3.035469045846399467e+02
-1.396999999999990916e+00,3.365232400629272433e+02,3.040236661511254397e+02
-1.384299999999990760e+00,3.374684596344301326e+02,3.045016345279661891e+02
-1.371599999999990604e+00,3.384114311677848264e+02,3.049807584642487086e+02
-1.358899999999990449e+00,3.393520708461572895e+02,3.054609865745367188e+02
-1.346199999999990293e+00,3.402902951488301824e+02,3.059422673443837084e+02
-1.333499999999990138e+00,3.412260208563246238e+02,3.064245491358354911e+02
-1.320799999999989982e+00,3.421591650554728972e+02,3.069077801929451539e+02
