shot_id;test;flow_pattern;x_exp;G_exp;j_g;j_l;alpha_exp;alpha_hom;alpha_zivi;alpha_chisholm;alpha_cise;alpha_drift_flux;dp_exp;dp_tot_hom_hom;dp_tot_friedel_zivi;dp_tot_friedel_chisholm;dp_tot_friedel_cise;dp_tot_friedel_drift_flux
1;1;Slug;0.0077;53.5742;0.344;0.0533;0.5207;0.8658;0.4073;0.7035;0.5471;0.5066;7598.0;2009.2756;8757.3635;4416.5036;6708.7874;7301.6562
2;2;Slug;0.0221;54.3184;0.9972;0.0533;0.6065;0.9493;0.666;0.81;0.6916;0.7037;5997.0;825.6272;5018.0138;2907.5502;4642.5859;4464.5346
3;3;Slug;0.0839;53.7689;3.7458;0.0494;0.6726;0.987;0.8898;0.9004;0.8287;0.829;5538.0;429.007;1884.2262;1729.3556;2779.1929;2775.7681
4;4;Slug/Churn;0.2012;66.3945;11.0919;0.0532;0.7623;0.9952;0.9569;0.9416;0.8987;0.8649;4992.0;1051.8566;1224.2344;1448.8902;2077.9509;2572.2856
5;5;Churn/Anular;0.2897;74.5918;17.9367;0.0531;0.8274;0.997;0.9729;0.9561;0.9239;0.8725;5088.0;1714.3;1671.3208;1918.424;2390.7311;3143.8501
6;6;Bubble;0.0045;92.3323;0.344;0.0921;0.2742;0.7888;0.2845;0.6324;0.4809;0.4756;12887.0;3167.7561;10625.813;5523.0708;7744.6393;7822.6745
7;7;Bubble/Slug;0.0127;93.1074;0.9836;0.0921;0.3629;0.9144;0.5321;0.7588;0.6358;0.6802;11950.0;1403.3781;7102.357;3776.9306;5580.1441;4929.5349
8;8;Slug;0.0466;96.4213;3.7298;0.0921;0.5621;0.9759;0.8118;0.8656;0.7896;0.8199;11085.0;842.7966;3315.4745;2525.7921;3640.9249;3196.6822
9;9;Slug;0.1509;87.3012;10.934;0.0742;0.713;0.9933;0.94;0.9292;0.8838;0.863;12772.0;1348.8285;1906.5703;2065.6013;2732.0056;3037.4901
10;10;Slug/Churn;0.2276;95.8117;18.1028;0.0741;0.7751;0.9959;0.963;0.9467;0.9135;0.8716;7432.0;2210.4486;2140.6349;2379.9788;2867.2745;3482.1412
11;11;Slug;0.0556;78.5151;3.6262;0.0742;0.6529;0.9799;0.8387;0.8768;0.7991;0.8218;6724.0;706.0409;2689.6498;2129.7244;3270.9193;2936.7663
12;12;Bubble;0.0043;111.6911;0.399;0.1113;0.3156;0.7818;0.2761;0.6265;0.4778;0.4941;12238.0;3292.4765;10795.0795;5651.4718;7834.5574;7595.5681
13;13;Slug;0.0104;112.4032;0.9699;0.1114;0.3895;0.897;0.4811;0.7375;0.6118;0.6676;11032.0;1683.0552;7899.1358;4134.6346;5980.2708;5160.2006
14;14;Slug;0.0391;115.7041;3.7557;0.1113;0.5671;0.9712;0.7822;0.8538;0.7764;0.8163;9503.0;996.8669;3857.2794;2806.3237;3942.126;3356.045
15;15;Slug;0.1069;123.8962;10.9998;0.1108;0.6677;0.99;0.9136;0.913;0.8682;0.8603;11929.0;1815.3232;2681.6562;2690.2117;3347.9368;3463.3405
16;16;Slug/Churn;0.1666;131.8559;18.2333;0.11;0.7367;0.994;0.9463;0.9336;0.9017;0.87;;2908.736;2906.2022;3093.4665;3561.721;4027.4858
17;17;Bubble;0.0027;172.7843;0.3853;0.1726;0.2515;0.6907;0.192;0.5543;0.4181;0.4474;13514.0;4666.8392;12105.9015;6789.2565;8788.2539;8357.8028
18;18;Slug;0.0256;176.1713;3.7428;0.1719;0.5039;0.9561;0.6986;0.8221;0.7463;0.8041;12974.0;1431.9067;5395.9356;3582.7406;4695.036;3846.7129
19;19;Slug/Churn;0.0718;183.1894;10.9208;0.1703;0.6065;0.9846;0.8722;0.8919;0.8496;0.8556;16983.0;2461.9471;3881.7184;3593.6109;4214.4263;4125.8084
20;20;Slug/Churn;0.1146;189.9429;18.072;0.1684;0.6824;0.9908;0.9195;0.9164;0.8874;0.8671;20491.0;3855.048;4091.7117;4137.6499;4562.9159;4861.1488
