    Test #;Water diaphragm;Air  flow rate (Nm3/h);Rotameter air pressure (bar);Water diaphragm press. drop (mbar);Relative pressure in the test section (bar);Type of differential pressure       (pC-pD) or (pD-pC);Pressure drop in the pipe (mbar);Water temperature (°C);Water mass in the pipe (g);Flow pattern
1;S;0.25;6;76.35;0.29;pD-pC;71.17;24.82;370;Slug
2;S;0.73;5.9;76.11;0.27;pD-pC;87.18;25.12;283;Slug
3;S;2.94;5;55.52;0.27;pD-pC;91.77;24.92;216;Slug
4;S;8.43;5.4;75.62;0.26;pD-pC;97.23;24.62;125;Slug/Churn
5;S;15.12;4.2;75.34;0.27;pD-pC;96.27;24.33;59;Churn/Anular
6;S;0.25;6;462.5;0.31;pD-pC;18.28;20.81;620;Bubble
7;S;0.72;5.9;462.5;0.32;pD-pC;27.65;20.13;530;Bubble/Slug
8;S;2.88;5.2;462.5;0.32;pD-pC;36.30;19.25;328;Slug
9;S;8.31;5.4;244.62;0.28;pD-pC;19.43;18.37;175;Slug
10;S;15.26;4.2;243.33;0.29;pD-pC;72.83;18.27;112;Slug/Churn
11;S;2.8;5.2;244.77;0.28;pD-pC;79.91;17.88;236;Slug
12;M;0.29;6;85.37;0.32;pD-pC;24.77;16.81;578;Bubble
13;M;0.71;5.9;85.41;0.31;pD-pC;36.83;16.81;503;Slug
14;M;2.9;5.2;85.32;0.31;pD-pC;52.12;16.81;323;Slug
15;M;8.36;5.4;84.45;0.33;pD-pC;27.86;17.01;221;Slug
16;M;15.37;4.2;83.23;0.36;Null;Null;17.32;151;Slug/Churn
17;M;0.28;6;215;0.34;pD-pC;12.01;17.69;643;Bubble
18;M;2.89;5.2;213.3;0.34;pD-pC;17.41;17.88;387;Slug
19;M;8.30;5.4;209.1;0.39;pC-pD;22.68;17.88;283;Slug/Churn
20;M;15.09;4.3;204.36;0.44;pC-pD;57.76;18.08;206;Slug/Churn
